song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Lady - Hear Me Tonight,Modjo,77,2001,0.72,0.808,-5.627,126.041,6
Kids,MGMT,77,2007,0.451,0.931,-3.871,122.961,9
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,77,2004,0.686,0.735,-4.616,171.355,2
"Dear Maria, Count Me In",All Time Low,76,2007,0.459,0.895,-3.126,181.04,2
Disturbia,Rihanna,76,2008,0.707,0.813,-4.515,124.921,11
China,Anuel AA,76,2019,0.786,0.808,-3.702,105.027,7
Just Dance,Lady Gaga,76,2008,0.822,0.739,-4.541,118.992,1
Stay,Rihanna,76,2012,0.621,0.31,-10.164,111.893,9
Memories (feat. Kid Cudi),David Guetta,76,2010,0.546,0.916,-3.932,129.983,8
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,76,2013,0.853,0.693,-6.87,95.967,1
Good Feeling,Flo Rida,76,2012,0.706,0.89,-4.444,128.011,1
It Wasn't Me,Shaggy,76,2000,0.853,0.606,-4.596,94.759,0
My House,Flo Rida,76,2015,0.688,0.702,-4.792,94.006,7
Scars To Your Beautiful,Alessia Cara,76,2016,0.319,0.739,-5.74,194.169,0
In the Name of Love,Martin Garrix,76,2016,0.501,0.519,-5.88,133.99,4
Try,P!nk,76,2012,0.674,0.628,-7.079,103.998,2
Don't You Worry Child - Radio Edit,Swedish House Mafia,76,2012,0.612,0.84,-3.145,129.042,11
Best Song Ever,One Direction,76,2013,0.652,0.877,-2.986,118.491,1
Thnks fr th Mmrs,Fall Out Boy,76,2007,0.459,0.891,-5.057,154.837,10
Exchange,Bryson Tiller,76,2015,0.525,0.433,-10.598,160.108,6
Money In The Grave (Drake ft. Rick Ross),Drake,76,2019,0.831,0.502,-4.045,100.541,10
Back To Black,Amy Winehouse,76,2006,0.403,0.422,-13.964,122.728,7
Just A Lil Bit,50 Cent,76,2005,0.489,0.692,-6.672,96.946,1
Womanizer,Britney Spears,76,2008,0.724,0.695,-5.226,139.0,11
Look What You Made Me Do,Taylor Swift,76,2017,0.766,0.709,-6.471,128.07,9
Human,Rag'n'Bone Man,76,2017,0.602,0.707,-4.097,75.087,9
Best of You,Foo Fighters,76,2005,0.366,0.94,-5.119,130.198,1
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,76,2016,0.666,0.83,-5.715,113.03,0
Kiss Me Thru The Phone,Soulja Boy,76,2008,0.758,0.712,-3.781,149.998,7
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,76,2016,0.886,0.427,-10.028,108.034,6
Dani California,Red Hot Chili Peppers,76,2006,0.556,0.913,-2.36,96.184,0
One More Time,Daft Punk,76,2001,0.613,0.697,-8.618,122.746,2
My Boo,Usher,76,2004,0.662,0.507,-8.238,86.412,5
Adventure of a Lifetime,Coldplay,76,2015,0.638,0.924,-3.887,111.995,7
All Of The Lights,Kanye West,76,2010,0.531,0.803,-3.284,142.113,1
Numb / Encore,JAY-Z,76,2004,0.687,0.793,-4.254,107.045,2
Big Girls Don't Cry (Personal),Fergie,76,2006,0.708,0.641,-4.296,113.082,7
Firestone,Kygo,76,2016,0.704,0.634,-7.374,113.927,11
Before He Cheats,Carrie Underwood,76,2005,0.519,0.749,-3.318,147.905,6
Midnight City,M83,76,2011,0.507,0.729,-5.399,105.013,11
P.I.M.P.,50 Cent,76,2003,0.712,0.772,-3.024,84.722,10
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,76,2010,0.76,0.595,-6.366,131.497,1
Just Can’t Get Enough,Black Eyed Peas,76,2010,0.659,0.628,-8.685,94.05,0
Crazy In Love (feat. Jay-Z),Beyoncé,76,2003,0.646,0.77,-6.596,99.165,2
Team,Lorde,76,2013,0.69,0.578,-7.436,99.961,6
Who Says,Selena Gomez & The Scene,76,2011,0.682,0.927,-2.915,101.019,4
So What,P!nk,76,2008,0.534,0.87,-3.078,126.019,11
Rock Your Body,Justin Timberlake,76,2002,0.892,0.714,-6.055,100.972,4
Welcome to the Black Parade,My Chemical Romance,76,2006,0.217,0.905,-4.103,96.95,2
Old Town Road,Lil Nas X,76,2019,0.907,0.53,-6.112,135.998,1
Club Can't Handle Me (feat. David Guetta),Flo Rida,76,2010,0.616,0.869,-3.911,127.966,0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,76,2018,0.842,0.801,-4.167,95.881,8
How Deep Is Your Love,Calvin Harris,76,2015,0.738,0.868,-4.373,122.003,11
Through The Wire,Kanye West,76,2004,0.571,0.739,-6.11,83.089,7
Family Affair,Mary J. Blige,76,2001,0.911,0.551,-3.75,92.887,8
Sugar (feat. Francesco Yates),Robin Schulz,76,2015,0.636,0.815,-5.098,123.063,5
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,76,2014,0.659,0.381,-5.922,119.844,2
Talking to the Moon,Bruno Mars,76,2010,0.498,0.59,-4.721,145.867,1
Te Boté - Remix,Nio Garcia,76,2018,0.903,0.675,-3.445,96.507,11
We Are Young (feat. Janelle Monáe),fun.,76,2012,0.378,0.638,-5.576,184.086,10
Am I Wrong,Nico & Vinz,76,2014,0.729,0.675,-6.003,119.968,8
"break up with your girlfriend, i'm bored",Ariana Grande,76,2019,0.726,0.554,-5.29,169.999,5
Raise Your Glass,P!nk,76,2010,0.7,0.709,-5.006,122.019,7
I Knew You Were Trouble.,Taylor Swift,76,2012,0.622,0.469,-6.798,77.019,3
